name,club,age,citizenship,coaching_licence,avg_term_as_coach,preffered_formation,current_league_country
Pep Guardiola,Man City,50,Spain,SEG,3.38 Years,4-3-3 Attacking,England
Ole Gunnar Solskjaer,Without Club,48,Norway,Jim Solbakken,2.05 Years,4-2-3-1,England
Thomas Tuchel,Chelsea,48,Germany,Dr. Olaf Meinking,2.28 Years,3-4-2-1,England
Jürgen Klopp,Liverpool,54,Germany,UEFA Pro Licence,5.40 Years,4-3-3 Attacking,England
Brendan Rodgers,Leicester,48,Northern Ireland,UEFA Pro Licence,2.02 Years,4-2-3-1,England
Rafael Benítez,Everton,61,Spain,Manuel García ...,1.91 Years,4-2-3-1,England
Dean Smith,Norwich,50,England,UEFA Pro Licence,2.75 Years,4-2-3-1,England
David Moyes,West Ham,58,Scotland,UEFA Pro Licence,3.23 Years,4-2-3-1,England
Marcelo Bielsa,Leeds,66,Argentina,UEFA Pro Licence,1.83 Years,4-1-4-1,England
Graham Potter,Brighton,46,England,UEFA Pro Licence,3.65 Years,4-2-3-1,England
Ralph Hasenhüttl,Southampton,54,Austria,UEFA Pro Licence,2.09 Years,4-4-2 double 6,England
Patrick Vieira,Crystal Palace,45,France,Sport Cover,2.06 Years,4-3-3 Attacking,England
Graeme Jones,Newcastle,51,England,UEFA Pro Licence,0.51 Years,4-3-1-2,England
Thomas Frank,Brentford,48,Denmark,Elite Consulting,2.11 Years,4-3-3 Attacking,England
Daniel Farke,Without Club,45,Germany,UEFA Pro Licence,4.07 Years,4-2-3-1,England
Claudio Ranieri,Watford,70,Italy,Only4Stars,1.30 Years,4-4-1-1,England
Mikel Arteta,Arsenal,39,Spain,-,2.05 Years,4-2-3-1,England
Sean Dyche,Burnley,50,England,-,4.07 Years,4-4-2 double 6,England
Simone Inzaghi,Inter,45,Italy,UEFA Pro Licence,1.92 Years,3-5-2 flat,Italy
Luciano Spalletti,SSC Napoli,62,Italy,UEFA Pro Licence,1.44 Years,4-2-3-1,Italy
Stefano Pioli,AC Milan,56,Italy,GG11 s.r.l.,1.20 Years,4-2-3-1,Italy
José Mourinho,AS Roma,58,Portugal,Gestifute,1.79 Years,4-2-3-1,Italy
Gian Piero Gasperini,Atalanta BC,63,Italy,GOAL CLUB,2.77 Years,3-4-2-1,Italy
Maurizio Sarri,Lazio,62,Italy,LIAN Sports Group,1.15 Years,4-3-3 Attacking,Italy
Vincenzo Italiano,Fiorentina,44,Italy,UEFA Pro Licence,0.88 Years,4-3-3 Attacking,Italy
Alessio Dionisi,Sassuolo,41,Italy,Italian Managers ...,0.98 Years,4-3-1-2,Italy
Ivan Juric,Torino,46,Croatia,UEFA Pro Licence,0.84 Years,3-4-2-1,Italy
Walter Mazzarri,Cagliari Calcio,60,Italy,UEFA Pro Licence,1.64 Years,4-4-2 double 6,Italy
Sinisa Mihajlovic,Bologna,52,Serbia,UEFA Pro Licence,1.20 Years,4-2-3-1,Italy
Roberto D'Aversa,Sampdoria,46,Italy,UEFA Pro Licence,1.54 Years,4-3-3 Attacking,Italy
Igor Tudor,Hellas Verona,43,Croatia,UEFA Pro Licence,0.74 Years,3-4-2-1,Italy
Luca Gotti,Without Club,54,Italy,UEFA Pro Licence,1.31 Years,3-5-2 flat,Italy
Davide Ballardini,Without Club,58,Italy,P&P Sport ...,0.96 Years,3-5-2 flat,Italy
Aurelio Andreazzoli,FC Empoli,68,Italy,UEFA Pro Licence,0.89 Years,4-3-1-2,Italy
Thiago Motta,Spezia Calcio,39,Italy,UEFA Pro Licence,0.56 Years,4-2-3-1,Italy
